percepcion,ideologia,KEY
Desaprueba algo,PAN,1_5
Desaprueba algo,PAN,1_5
Desaprueba mucho,Ninguno,2_2
Ni aprueba ni desaprueba,PAN,2_2
Ni aprueba ni desaprueba,PAN,2_2
Desaprueba mucho,PAN,2_4
Desaprueba algo,PAN,2_4
Desaprueba algo,Ninguno,2_4
Desaprueba algo,PAN,4_9
Desaprueba mucho,PAN,5_20
Desaprueba algo,PAN,5_25
Desaprueba algo,PAN,5_25
Desaprueba algo,PAN,5_25
Ni aprueba ni desaprueba,PAN,5_35
Desaprueba mucho,Ninguno,8_11
Desaprueba mucho,PAN,8_19
Ni aprueba ni desaprueba,PAN,8_19
Desaprueba mucho,PAN,8_37
Desaprueba algo,PAN,8_37
Ni aprueba ni desaprueba,PAN,8_37
Desaprueba mucho,PAN,8_37
Desaprueba mucho,PAN,8_37
Ni aprueba ni desaprueba,PAN,8_37
Ni aprueba ni desaprueba,PAN,8_37
Desaprueba mucho,Morena,9_3
Desaprueba algo,PAN,9_5
Ni aprueba ni desaprueba,PAN,9_5
Desaprueba mucho,PAN,9_7
Desaprueba algo,Ninguno,9_13
Desaprueba algo,Ninguno,9_13
Desaprueba algo,PAN,9_17
Aprueba mucho,PAN,9_17
Desaprueba algo,PAN,9_17
Desaprueba algo,PRI,10_5
Desaprueba algo,PAN,10_5
Desaprueba mucho,PAN,11_4
Desaprueba algo,PAN,11_4
Desaprueba algo,PAN,11_19
Desaprueba mucho,PRI,11_19
Aprueba algo,PAN,11_19
Aprueba algo,PAN,11_19
Ni aprueba ni desaprueba,PAN,11_20
Desaprueba mucho,PAN,11_28
Desaprueba mucho,PAN,11_28
Desaprueba algo,PAN,11_41
Desaprueba mucho,PAN,11_41
Desaprueba algo,PAN,11_41
Desaprueba algo,PAN,11_42
Desaprueba mucho,PAN,11_42
Desaprueba algo,PAN,11_42
Desaprueba mucho,PRI,12_29
Desaprueba algo,PAN,13_3
Desaprueba mucho,Ninguno,13_3
Desaprueba mucho,PAN,13_5
Desaprueba algo,PAN,13_72
Aprueba algo,PAN,13_72
Aprueba algo,PAN,13_72
Ni aprueba ni desaprueba,PAN,14_15
Ni aprueba ni desaprueba,Ns/Nc,14_15
Desaprueba algo,PAN,14_23
Desaprueba algo,PAN,14_23
Ni aprueba ni desaprueba,PAN,14_23
Ni aprueba ni desaprueba,PAN,14_41
Desaprueba mucho,PAN,14_65
Desaprueba mucho,PAN,14_65
Desaprueba algo,PAN,14_65
Desaprueba algo,PAN,14_72
Desaprueba mucho,PAN,14_72
Ni aprueba ni desaprueba,PAN,14_118
Ni aprueba ni desaprueba,PAN,14_118
Desaprueba algo,PAN,14_118
Desaprueba algo,Ninguno,14_120
Desaprueba mucho,Movimiento Ciudadano,14_99
Desaprueba mucho,PAN,14_120
Aprueba mucho,Morena,14_120
Desaprueba algo,Ninguno,15_13
Desaprueba mucho,Ninguno,15_34
Aprueba mucho,PRD,15_34
Desaprueba mucho,PAN,15_34
Desaprueba mucho,PAN,15_52
Desaprueba mucho,PAN,15_58
Desaprueba mucho,PAN,15_58
Desaprueba mucho,PRI,15_81
Desaprueba mucho,PAN,15_81
Desaprueba mucho,PAN,15_89
Ni aprueba ni desaprueba,Ninguno,15_89
Desaprueba algo,PRI,15_105
Ni aprueba ni desaprueba,PAN,15_105
Desaprueba mucho,PAN,15_105
Ni aprueba ni desaprueba,PAN,15_107
Desaprueba algo,PAN,15_110
Desaprueba algo,PAN,16_54
Ni aprueba ni desaprueba,PAN,16_54
Desaprueba mucho,PAN,16_54
Desaprueba mucho,PAN,16_54
Ni aprueba ni desaprueba,PAN,16_54
Desaprueba mucho,PAN,16_54
Desaprueba mucho,PAN,16_68
Desaprueba algo,PAN,16_83
Desaprueba mucho,PAN,16_83
Desaprueba mucho,PAN,16_83
Aprueba algo,PAN,17_18
Desaprueba mucho,Ninguno,17_18
Desaprueba algo,Ns/Nc,18_17
Desaprueba mucho,PAN,18_17
Desaprueba algo,PAN,18_17
Desaprueba mucho,PAN,19_4
Ni aprueba ni desaprueba,PAN,19_4
Ni aprueba ni desaprueba,PAN,19_4
Desaprueba algo,PAN,19_26
Desaprueba algo,PAN,19_26
Desaprueba mucho,PAN,19_26
Ni aprueba ni desaprueba,PAN,19_26
Desaprueba algo,PAN,19_26
Ni aprueba ni desaprueba,PAN,19_26
Ni aprueba ni desaprueba,PAN,19_26
Ni aprueba ni desaprueba,PAN,19_26
Desaprueba algo,PAN,19_40
Desaprueba mucho,PAN,19_40
Desaprueba algo,PAN,19_47
Ni aprueba ni desaprueba,PRI,19_47
Desaprueba mucho,PAN,20_37
Desaprueba mucho,PAN,20_37
Desaprueba algo,Ninguno,20_41
